Identifier,Title,Date,Date type,Date of Birth,Note,Type,File,Age,Value,Estimated Value,Relationship,Identifier,Relationship,Identifier,Location,SJ,Identifier,SJ,Identifier,Source,
2000,Abraham,1767-11-16,run away,,,mention,,,,,,,,,St. Inigoe's Manor,,,,,,
2400,Abraham,1831,inventory,1820,,tax assessment,,11,40,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/79,
2400,Abram,1821-03-21,inventory,1820,,tax assessment,,1,5,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/79,
2401,Adelene,1831,inventory,1808,,tax assessment,,23,80,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/79,
2402,Alexander,1831,inventory,1827,,tax assessment,,4,20,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/79,
2403,Ann,1831,inventory,1828,,tax assessment,,3,15,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/79,
2404,Anna,1831,inventory,1768,,tax assessment,,63,0,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/78,
2404,Anna,1821-03-21,inventory,1773,,tax assessment,,48,44,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/79,
2406,Anna,1821-03-21,inventory,1791,,tax assessment,,30,80,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/79,
2407,Anna,1821-03-21,inventory,1811,,tax assessment,,10,40,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/79,
2223,Arnold,1837-12-16,labor,,By Cash recd from Wm. L. Hilton for the Time of Arnold 9 months & 3 weeks 108.25,account book,,,,,hired by William L. Hilton,NJ042,,,St. Inigoe's Manor,,,,,MPA-44-2-StInigoesAccountLedger-1843-1850.json,
2408,Augustin,1831,inventory,1831,,tax assessment,,3m,5,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/79,
2249,Basil,1831,inventory,1810,,tax assessment,,21,125,,,,,,St. Inigoes,Joseph Carberry,,,,http://slaveryarchive.georgetown.edu/items/show/78,
2249,Basil,1817-02-06,transfer,,I send to you the list of the Nigroes who from Rd. Mr. Ashton's place (St. Thomas�۪s Manor) are to come to St. Inigoes.,letter,,8,,,property of John Ashton,J008,,,St. Inigoe's Manor,John Grassi,J029,Joseph Marshall,J045,CHMC-6-7-Grassi-Marshall-1817-02-06.json,
