OS-ID,Identifier,Title,Name,Date,Date type,Date of Birth,Note,Type,File,Age,Value,Estimated Value,Relationship,Identifier,Relationship,Identifier,Location,SJ,Identifier,SJ,Identifier,Source
1692,5073,,Ralph,1793-03-15,conditions,,cow calved and the calf died two days later,account book,,,,,,,,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
1695,5076,,Rachel,1793-05-12,conditions,,cow calved  ,account book,,,,,,,,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
1439,5032,,James,1798-01-11,contract,,"leased to John Morton, Blacksmith",contract,,,,,property of Ambrose Marechal,NJ002,leased by John Morton,NJ026,Bohemia,,,,,MPA-30-3-Marechal-Lease-James-blacksmith-Morton-1798-01-11.json
1687,5055,,Barney,1824-05-24,death,,arrived house at nine where I found our old Banney dead & buried during my absences (Barney?),letter,,,,,,,,,Bohemia,Peter Epinette,J043,,,MPA-60-6-Epinette-McElroy-1824-05-19.json
1442,5058,,Stephen,1796-08-03,death,,cancer,account book,,,,,,,,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
1448,5068,,Patrick,1797-03-09,freedom petition,,Summond. to court to answer Patt's petition for freedom,account book,,,,,,,,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
1694,5075,,Ned,1793-02-20,illness,,Taken ill at Dr. Mathews,account book,,,,,,,,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
1438,5027,,Kate,1791-02-22,inoculation,,,account book,,,,,,,,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
1439,5032,,James,1791-02-22,inoculation,,,account book,,,,,,,,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
1440,5052,,Henny,1791-02-22,inoculation,,,account book,,,,,,,,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
1687,5055,,Barney,1791-02-22,inoculation,,,account book,,,,,,,,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
1441,5056,,Bill ,1791-02-22,inoculation,,,account book,,,,,,,,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
1442,5058,,Stephen,1791-02-22,inoculation,,,account book,,,,,,,,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
1689,5059,,Dick ,1791-02-22,inoculation,,,account book,,,,,,,,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
1443,5060,,Luke,1791-02-22,inoculation,,,account book,,,,,,,,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
1690,5061,,Charles,1791-02-22,inoculation,,,account book,,,,,,,,,Bohemia,,,,,1790-MPC-1-1-Records of Bohemia-1790.json
