bio:participant,Identifier,dcterms:title,Title,bio:date,dcterms:type,dcterms:type,dcterms:description,schema:location ,SJ,SJ ID,relationship:knowsOf,dcterms:source,dcterms:source,dcterms:source
1518,4028,"1796, Nanny Queen freedom petition",Nanny Queen,1796,freedom petition,,possibly freed,6,John Ashton,J008,973,http://earlywashingtondc.org/cases/oscys.caseid.0504,,
1564,4075,"1796, Priscilla Queen freedom petition",Priscilla Queen,1796,freedom petition,,possibly freed,6,John Ashton,J008,973,http://earlywashingtondc.org/cases/cases/oscys.casei,,
1504,4015,"1796, Simon Queen freedom petition",Simon Queen,1796,freedom petition,,possibly freed,6,John Ashton,J008,973,families/queen,,
3934,4522,"1794, Ann (Nanny) Queen freedom petition",Ann (Nanny) Queen,1794,freedom petition,,awarded freedom; daughter of Henny Queen (4016),"Harford Cnty, MD",Sylvester Boarman,J062,3933,http://earlywashingtondc.org/cases/oscys.caseid.0386,,
3935,4523,"1794, David Queen freedom petition",David Queen,1794,freedom petition,,awarded freedom; child of Mary (4027),"Harford Cnty, MD",Sylvester Boarman,J062,3933,http://earlywashingtondc.org/cases/oscys.caseid.0387,,
1511,4022,"1796, Phillis Queen freedom petition",Phillis Queen,1796,freedom petition,,awarded freedom,6,John Ashton,J008,973,http://earlywashingtondc.org/cases/oscys.caseid.0485,,
1556,4067,"1796, Susanna (Sucky) Queen freedom petition",Susanna (Sucky) Queen,1796,freedom petition,,possibly freed,6,John Ashton,J008,973,http://earlywashingtondc.org/cases/oscys.caseid.0486,,
1557,4068,"1796, Betty Queen freedom petition",Betty Queen,1796,freedom petition,,awarded freedom,6,John Ashton,J008,973,http://earlywashingtondc.org/cases/oscys.caseid.0487,,
3931,4232,"1796, Proteus Queen freedom petition",Proteus Queen,1796,freedom petition,,awarded freedom,6,John Ashton,J008,973,http://earlywashingtondc.org/cases/oscys.caseid.0489,,
1558,4069,"1796, Gervais Queen freedom petition",Gervais Queen,1796,freedom petition,,awarded freedom,6,John Ashton,J008,973,http://earlywashingtondc.org/cases/oscys.caseid.0488,,
1544,4054,"1794, Edward (Ned) Queen freedom petition",Edward (Ned) Queen,1794,freedom petition,,awarded freedom,6,John Ashton,J008,973,http://earlywashingtondc.org/cases/oscys.caseid.0338,,
1512,4023,"1796, Mary Queen freedom petition",Mary Queen,1796,freedom petition,,awarded freedom,6,John Ashton,J008,973,http://earlywashingtondc.org/cases/oscys.caseid.0490,,
1520,4031,"1810, Priscilla Queen freedom petition",Priscilla Queen,1810,freedom petition,,unclear,,Francis Neale,J011,976,http://earlywashingtondc.org/cases/oscys.caseid.0025,,
1529,4040,"1796, Nancy Queen freedom petition",Nancy Queen,1796,freedom petition,,not awarded,,Charles Sewall,J017,982,http://earlywashingtondc.org/cases/oscys.caseid.0341,,
3936,4501,"1809, Nancy Queen freedom petition",Nancy Queen,1809,freedom petition,,unclear,,Charles Neale,J022,987,http://earlywashingtondc.org/families/queen,,
3937,4502,"1810, Nancy Queen freedom petition",Nancy Queen,1810,freedom petition,,not awarded,,Charles Neale,J022,987,http://earlywashingtondc.org/cases/oscys.caseid.0340,,
1566,4077,"1796, Sally Queen freedom petition",Sally Queen,1796,freedom petition,,awarded freedom,6,John Ashton,J008,973,http://earlywashingtondc.org/cases/oscys.caseid.0491,,
3938,4504,"1796, Phillis Queen freedom petition",Phillis Queen,1796,freedom petition,,awarded freedom,6,John Ashton,J008,973,http://earlywashingtondc.org/cases/oscys.caseid.0492,,
1568,4079,"1796, Billey Queen freedom petition",Billey Queen,1796,freedom petition,,awarded freedom,6,John Ashton,J008,973,http://earlywashingtondc.org/cases/oscys.caseid.0493,,
1567,4078,"1796, John Queen freedom petition",John Queen,1796,freedom petition,,awarded freedom,6,John Ashton,J008,973,http://earlywashingtondc.org/cases/oscys.caseid.0494,,
1562,4073,"1796, Thomas Queen freedom petition",Thomas Queen,1796,freedom petition,,awarded freedom,6,John Ashton,J008,973,http://earlywashingtondc.org/cases/oscys.caseid.0495,,
3939,4508,"1796, Bill Queen freedom petition",Bill Queen,1796,freedom petition,,awarded freedom,6,John Ashton,J008,973,http://earlywashingtondc.org/cases/oscys.caseid.0496 ,,
3940,4509,"1796, Kesiah Queen freedom petition",Kesiah Queen,1796,freedom petition,,awarded freedom,6,John Ashton,J008,973,http://earlywashingtondc.org/cases/oscys.caseid.0497,,
3949,4524,"1796, Kesiah Queen’s son freedom petition",Kesiah Queen’s son,1796,freedom petition,,awarded freedom,6,John Ashton,J008,973,http://earlywashingtondc.org/cases/oscys.caseid.0497,,
