bio:participant,Identifier,dcterms:title,Title,bio:date,dcterms:type,dcterms:type,dcterms:description,schema:location ,SJ,SJ ID,relationship:knowsOf,dcterms:source,dcterms:source,dcterms:source
1530,4041,"1796-04, Basil Queen manumission",Basil Queen,1796-04,manumission,,Prince George’s County Certificates of Freedom,6,John Ashton,J008,973,https://msa.maryland.gov/megafile/msa/stagser/s1400/s1411/000001/html/s141101-285.html,,
1568,4079,"1796-04, Billey Queen manumission",Billey Queen,1796-04,manumission,,Prince George’s County Certificates of Freedom,6,John Ashton,J008,973,https://msa.maryland.gov/megafile/msa/stagser/s1400/s1411/000001/html/s141101-285.html,,
1524,4035,"1796-04, Charity Queen manumission",Charity Queen,1796-04,manumission,,Prince George’s County Certificates of Freedom,6,John Ashton,J008,973,https://msa.maryland.gov/megafile/msa/stagser/s1400/s1411/000001/html/s141101-285.html,,
1544,4054,"1796-04, Edward (Ned) Queen manumission",Edward (Ned) Queen,1796-04,manumission,,Prince George’s County Certificates of Freedom,6,John Ashton,J008,973,https://msa.maryland.gov/megafile/msa/stagser/s1400/s1411/000001/html/s141101-285.html,,
4015,4527,"1796-04, Jacob Queen manumission",Jacob Queen,1796-04,manumission,,Prince George’s County Certificates of Freedom,6,John Ashton,J008,973,https://msa.maryland.gov/megafile/msa/stagser/s1400/s1411/000001/html/s141101-285.html,,
1567,4078,"1796-04, John Queen manumission",John Queen,1796-04,manumission,,Prince George’s County Certificates of Freedom,6,John Ashton,J008,973,https://msa.maryland.gov/megafile/msa/stagser/s1400/s1411/000001/html/s141101-285.html,,
1512,4023,"1796-04, Mary Queen manumission",Mary Queen,1796-04,manumission,,Prince George’s County Certificates of Freedom,6,John Ashton,J008,973,https://msa.maryland.gov/megafile/msa/stagser/s1400/s1411/000001/html/s141101-285.html,,
1570,4081,"1796-04, Nelly Queen manumission",Nelly Queen,1796-04,manumission,,Prince George’s County Certificates of Freedom,6,John Ashton,J008,973,https://msa.maryland.gov/megafile/msa/stagser/s1400/s1411/000001/html/s141101-285.html,,
3941,4510,"1796-04, Nicholas Queen manumission",Nicholas Queen,1796-04,manumission,,Prince George’s County Certificates of Freedom,6,John Ashton,J008,973,https://msa.maryland.gov/megafile/msa/stagser/s1400/s1411/000001/html/s141101-285.html,,
1304,4015,"1796-04, Simon Queen manumission",Simon Queen,1796-04,manumission,,Prince George’s County Certificates of Freedom,6,John Ashton,J008,973,https://msa.maryland.gov/megafile/msa/stagser/s1400/s1411/000001/html/s141101-285.html,,
4016,4528,"1796-04, Stephen Queen manumission",Stephen Queen,1796-04,manumission,,Prince George’s County Certificates of Freedom,6,John Ashton,J008,973,https://msa.maryland.gov/megafile/msa/stagser/s1400/s1411/000001/html/s141101-285.html,,
,,,,,,,,6,John Ashton,J008,973,,,
3944,4517,"1805-08-13, Danial Mahoney manumission",Daniel Mahoney,1805-08-13,manumission,,Age 33,6,John Ashton,J008,973,aomol.msa.maryland.gov/000001/000825/html/am825--258.html,,
,4529,"1802-04-12, Ragus Berry manumission",Ragus Berry,1802-04-12,manumission,,Age 32,6,John Ashton,J008,973,http://aomol.msa.maryland.gov/000001/000825/html/am825--119.html,,
