bio:participant,Identifier,dcterms:title,Title,bio:date,dcterms:type,dcterms:type,dcterms:description,foaf:age ,schema:comment,schema:totalPrice,schema:currency,schema:priceSpecification,schema:duration,Seller,Identifier,schema:seller,buyer,Identifier,schema:buyer,schema:location ,SJ,SJ ID,Knows of ,dcterms:source,dcterms:source,dcterms:source
1872,2109,"1809-06-26, Person exchange purchase",Person,1809-06-26,exchange,purchase,,,,,$,5/$700.00,,,,,,,,3,,,,http://slaveryarchive.georgetown.edu/items/show/193,,
1873,2110,"1809-06-26, Person exchange purchase",Person,1809-06-26,exchange,purchase,,,,,$,5/$700.00,,,,,,,,3,,,,http://slaveryarchive.georgetown.edu/items/show/193,,
1874,2111,"1809-06-26, Person exchange purchase",Person,1809-06-26,exchange,purchase,,,,,$,5/$700.00,,,,,,,,3,,,,http://slaveryarchive.georgetown.edu/items/show/193,,
1875,2112,"1809-06-26, Person exchange purchase",Person,1809-06-26,exchange,purchase,,,,,$,5/$700.00,,,,,,,,3,,,,http://slaveryarchive.georgetown.edu/items/show/193,,
1876,2113,"1809-06-26, Person exchange purchase",Person,1809-06-26,exchange,purchase,,,,,$,5/$700.00,,,,,,,,3,,,,http://slaveryarchive.georgetown.edu/items/show/193,,
1941,6160,"1784, Jane exchange sale",Jane,1784,exchange,sale,exchanged for William,,,,L,L100/2,,,,,sold to Edmond Plowden,NJ076,1101,2,,,,1782-MPA-44-4-NewtownDayBook-loose-SlaveList-1782-1796.json,,
1942,6161,"1784, Rachel exchange sale",Rachel,1784,exchange,sale,exchanged for William,,,,L,L100/2,,,,,sold to Edmond Plowden,NJ076,1101,2,,,,1782-MPA-44-4-NewtownDayBook-loose-SlaveList-1782-1796.json,,
1448,5068,"1797-03-09, Patrick freedom petition ",Patrick,1797-03-09,freedom petition,,Summond. to court to answer Patt's petition for freedom,,,,,,,,,,,,,1,,,,1790-MPC-1-1-Records of Bohemia-1790.json,,
1437,7029,"1780, Margaret manumission disputed",Margaret,1780,manumission,disputed,"manumitted October 30, 1775",,,,,,,property of Mr. Campbell,NJ030,1054,,,,1120,John Ashton,J008,973,MPA-35-6-AshtonCampbellEstateLegalDispute-1780.json,,
1445,5064,"1815, Fanny manumission planning",Fanny,1815,manumission,planning,Enoch Fenwick writes to Francis Neale copying John Carroll’s notes,48,,,,,,,,,,,,1,John Carroll,J006,971,http://slaveryarchive.georgetown.edu/items/show/37,,
