added,OS-ID,Identifier,Title,Date,Date type,Date of Birth,Note,Type,File,Age,Value,Estimated Value,Relationship,Identifier,Relationship,Identifier,Location,SJ,Identifier,SJ,Identifier,Source
1,2040,3001,Davy,1765-12-27,godparent,,,sacramental record,,,,,sibling of ,3000,sibling of,3002,St. Joseph's,Joseph Mosley,,,,http://slaveryarchive.georgetown.edu/items/show/54
1,2041,3002,Lucy,1765-12-27,godparent,,,sacramental record,,,,,sibling of ,3000,sibling of ,3001,St. Joseph's,Joseph Mosley,,,,http://slaveryarchive.georgetown.edu/items/show/54
1,2042,3029,Thom,1771-10-16,godparent,,,sacramental record,,,,,godparent of Matthew,3028,,,St. Joseph's,Joseph Mosley,,,,http://slaveryarchive.georgetown.edu/items/show/54
1,2043,3031,Paul,1773-04-04,godparent,,,sacramental record,,,,,godparent of Thom,3030,,,St. Joseph's,Joseph Mosley,,,,http://slaveryarchive.georgetown.edu/items/show/54
1,2044,3033,David,1773-09-04,godparent,,,sacramental record,,,,,godparent of Samuel,3032,,,St. Joseph's,Joseph Mosley,,,,http://slaveryarchive.georgetown.edu/items/show/54
1,2043,3031,Paul,1778-10-10,godparent,,,sacramental record,,,,,godparent of Thomas,3036,,,St. Joseph's,Joseph Mosley,,,,http://slaveryarchive.georgetown.edu/items/show/54
0,2045,3037,Jinny,1779-11-14,godparent,,,sacramental record,,,,,godparent of Hannah,,,,St. Joseph's,Joseph Mosley,,,,http://slaveryarchive.georgetown.edu/items/show/54
1,1194,3000,Mary,1780-04-09,godparent,,,sacramental record,,,,,godparent of Henrietta,3038,,,St. Joseph's,Joseph Mosley,,,,http://slaveryarchive.georgetown.edu/items/show/54
1,1194,3000,Mary,1781-09-01,godparent,,,sacramental record,,,,,godparent of John Baptist,3040,,,St. Joseph's,Joseph Mosley,,,,http://slaveryarchive.georgetown.edu/items/show/54
0,2045,3037,Jinny,1783-02-17,godparent,,,sacramental record,,,,,godparent of Jeremiah (Mr. Cochran's),,,,St. Joseph's,Joseph Mosley,,,,http://slaveryarchive.georgetown.edu/items/show/54
0,2047,3042,Jerry,1783-02-17,godparent,,,sacramental record,,,,,godparent of Jeremiah (Mr. Cochran's),,,,St. Joseph's,Joseph Mosley,,,,http://slaveryarchive.georgetown.edu/items/show/54
1,2048,3044,Fanny,1786-03-04,godparent,,,sacramental record,,,,,godparent of Jane,3043,,,St. Joseph's,Joseph Mosley,,,,http://slaveryarchive.georgetown.edu/items/show/54
1,2049,4098,Herriot,1819-11-25,godparent,,,sacramental record,,,,,godparent of Anna,4095,,,White Marsh,F.H. Van Vechel,J054,,,1818-MPC-3-4-WhiteMarshBaptismalRegistry-1818-1822.json
1,1750,4097,Cecilia,1819-12,godparent,,,sacramental record,,,,,godparent of Lucia,4099,,,White Marsh,F.H. Van Vechel,J054,,,1818-MPC-3-4-WhiteMarshBaptismalRegistry-1818-1822.json
1,2050,4104,Cornelius,1820-02-08,godparent,,,sacramental record,,,,,godparent of Nantine,4102,,,White Marsh,F.H. Van Vechel,J054,,,1818-MPC-3-4-WhiteMarshBaptismalRegistry-1818-1822.json
1,2051,4122,Crissy,1821-08-20,godparent,,,sacramental record,,,,,godparent of Joseph,4118,,,White Marsh,F. Van Quickenborne,J055,,,1818-MPC-3-4-WhiteMarshBaptismalRegistry-1818-1822.json
1,1237,4147,Robert,1821-09-22,godparent,,,sacramental record,,,,,godparent of Harrison Thorn,4143,,,White Marsh,F. Van Quickenborne,J056,,,1818-MPC-3-4-WhiteMarshBaptismalRegistry-1818-1822.json
1,2058,4148,Sally,1821-09-22,godparent,,,sacramental record,,,,,godparent of Harrison Thorn,4143,spouse of Aaron,4149,White Marsh,F. Van Quickenborne,J056,,,1818-MPC-3-4-WhiteMarshBaptismalRegistry-1818-1822.json
1,2052,4130,Mary,1822-07-29,godparent,,,sacramental record,,,,,godparent of Gabriel,4129,sibling of,,White Marsh,F. Van Quickenborne,J056,,,1818-MPC-3-4-WhiteMarshBaptismalRegistry-1818-1822.json
1,2053,4132,Nelly,1822-08-31,godparent,,,sacramental record,,,,,godparent of Marincelus,4131,child of Sally,4121,White Marsh,F. Van Quickenborne,J056,,,1818-MPC-3-4-WhiteMarshBaptismalRegistry-1818-1822.json
1,2054,4135,Nancy,1822-10-01,godparent,,,sacramental record,,,,,godparent of Cornelius,4133,,,White Marsh,F. Van Quickenborne,J056,,,1818-MPC-3-4-WhiteMarshBaptismalRegistry-1818-1822.json
1,1768,4139,Sally,1822-11-01,godparent,,,sacramental record,,,,,godparent of Louisa Parker,4137,,,White Marsh,F. Van Quickenborne,J056,,,1818-MPC-3-4-WhiteMarshBaptismalRegistry-1818-1822.json
