ID,foaf:Group,Label
1,H,"Isaac Hawkins, I"
2,F0,Charles Hawkins
3,H1,Nelly (Hawkins)
4,F1,Henny (Hawkins)
5,F1,Cecilia (Hawkins)
6,F1,Ruthy (Hawkins)
7,H2,Patrick Hawkins
8,F2,Letty Hawkins
9,F2,Cornelius Hawkins
10,F2,Francis Hawkins
11,"F3, F2",Susan Hawkins
12,"F3, F2",Gabriel Hawkins
13,"F3, F2",Peter Hawkins
14,"F3, F2",Jackson Hawkins
15,"F3, F2",Elizabeth Hawkins
16,H4,James Hawkins
17,F4,Delia Hawkins
18,F4,Susan Hawkins
19,F4,George Hawkins
20,H5,"Isaac Hawkins, II"
21,F5,Kitty Hawkins
22,F5,Austin Hawkins
23,F5,Issac Hawkins. III
24,F5,Elias Hawkins
25,H6,Sally
26,H7,Ned
27,F7,Rachel 
28,F7,Simon
29,F7,Anderson
30,F7,Louisa
31,F7,"Ned, II"
32,F6,Billy
33,H8,Nelly (Harrison)
34,F8,John (Harrison)
35,H9,John
36,F9,Nancy
37,F9,Patrick 
38,H10,Charles Queen
39,F10,Sally (#2) Queen
40,F10,Nancy (Queen)
41,F10,Margaret (Queen)
42,F10,David Queen
43,F10,Eliza (Queen)
44,F10,Martha (Queen)
45,F10,Harriet (Queen)
46,F10,Sarah Anne (Queen)
47,H11,Nelly
48,H12,Joseph
49,F11,Nelly
50,"F11, H31",Kitty
51,F31,Mary
52,F31,Sam
53,F12,Elizabeth
54,H13,Polly
55,F13,Sally
56,F13,William
57,F13,Mary Anne Digges
58,F13,Robert
59,F13,Henry
60,H14,Harriet
61,F14,Elizabeth
62,F14,Iasais
63,F14,Mary Ellen
64,F14,Nancy
65,F14,Martha
66,F14,Jemmy
67,H15,Betsy
68,F15,Austin
69,F15,Adoph
70,F15,Henrietta
71,F15,Hariet Ann
76,F18,Minty
77,F18,Nancy 
78,F18,Mary
83,H19,Eliza
84,F19,Revidy
85,F19,Noble
86,F19,Edward
87,F19,William
109,H23,Anny
110,H24,Betsy
111,H25,Matilida
112,H26,Kitty
113,H27,Margaret
114,H28,Crissy
116,F20,Henny
117,F20,Louisa
118,F20,Teresia
119,F20,Mary
120,F20,Mary 
121,"F20, H29",Jinny
122,H34,Harry
123,F34,Dina
124,H35,Joe Greenleaf
125,F35,Esther Greenleaf
128,H36,Stephen
129,F36,Sarah
133,H37,Bennett
134,F37,Clare
137,H38,Susan Plowden
138,F38,Priscilla Plowden
140,H39,Jarred
141,F39,Rose Anne
189,F21,Robert
190,F21,Mary 
191,F21,Abraham
192,F21,Robert
193,F21,James
194,F21,Bridget
195,F21,Mary Jane
196,F21,Susan
197,F21,Sally Anne
198,F21,Nelly
199,F21,Charles
200,F21,Child
203,H40,Phil Merrick
204,F40,Nelly Merrick
217,H41,Anny Jones
218,F41,Arnold Jones
226,F22,Watt
227,F22,Teresa
228,F22,Frank
229,F22,Sam
230,F22,Rachel
231,F22,Alexander
232,F22,Charlotte
233,F22,Emeline
234,F22,Watt
235,F22,Child
242,H42,Nelly Barney
243,F42,Eliza
254,H30,Ginny
255,F30,Female
257,H32,Nathan
258,F32,Henny 
300,F23,Male (Charles – 1)
301,F23,Male (Sam – 1)
302,F23,Female (Nance – 8)
303,F23,Female (Eliza – 10)
304,F24,Female (Ellen – 4) 
305,F24,Female (Martha – 2)
306,F25,Female
307,F25,Female
308,F25,Female
309,F26,Male (Oswald – 5)
310,F26,Female (Sarah – 10) 
311,F27,Female
312,F28,Male
313,F28,Male
314,F28,Female
315,F28,Female
316,F29,Female
317,F29,Female
318,F29,Female
319,F29,Female
