Identifier,Title,Date,Date type,Date of Birth,Note,Type,File,Age,Value,Estimated Value,Relationship,Identifier,Relationship,Identifier,Location,SJ,Identifier,SJ,Identifier,Source,
1001,Charity,1749-1753,baptism,,strike [dead],sacramental record,,,,,child of Ceasar,1050,child of Dina,1051,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1002,Ignatius,1749-1753,baptism,,strike [dead],sacramental record,,,,,child of Dick,1052,child of Mary,1053,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1003,Winnifred,1749-1753,baptism,,strike [dead],sacramental record,,,,,child of Ceasar,1050,child of Dina,1051,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1004,Michael,1749-1753,baptism,,strike [dead],sacramental record,,,,,child of Mary [dead],1053,,,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1005,John,1755-02-22,baptism,,,sacramental record,,,,,child of Jenny,1054,child of Jos',1055,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1006,Sarah,1755-02-17,baptism,,,sacramental record,,,,,child of Su ,1059,child of Robin,1060,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1007,Robert,1755-06-15,baptism,,,sacramental record,,,,,child of Jenny,1056,child of Dick,1052,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1008,Dicky,1755-10,baptism,,strike [dead],sacramental record,,,,,child of Mary,1070,child of Joseph,1071,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1009,Bob,1756-02,baptism,,,sacramental record,,,,,child of Jenny,1056,child of Dick,1052,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1010,Dina,1759-10-29,baptism,,strike [dead],sacramental record,,,,,child of Dina,1051,child of Ceasar,1050,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1051,Dina,1768-03-25,parenthood,,,sacramental record,,,,,spouse of James Locus,1069,parent of Henry,1032,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1051,Dina,1773-04-05,parenthood,,,sacramental record,,,,,spouse of James Locus,1069,parent of Edward,1034,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1011,Peter,1759-05,baptism,,,sacramental record,,,,,child of Jenny,1054,child of Jos',1055,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1012,Sarah,1759-05,baptism,,,sacramental record,,,,,child of Jenny,1054,child of Jos',1055,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1013,Margaret,1758-02,baptism,,strike [dead],sacramental record,,,,,child of Sue,1059,child of Robine,1060,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1014,Eleanor,1759-12-20,baptism,,strike [dead],sacramental record,,,,,child of Henny,1057,child of Billy,1058,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1015,Eleanor,1754,baptism,,strike [dead],sacramental record,,,,,child of Henny,1057,child of Billy,1058,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1016,George,1755,baptism,,,sacramental record,,,,,child of Dick,1052,child of Jenny,1056,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1017,Mary,1756-11-29,baptism,,strike [dead],sacramental record,,,,,child of Ceasar,1050,child of Dina,1051,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1018,Statia,1763-03-11,baptism,,strike [dead],sacramental record,,,,,child of Ceasar,1050,child of Dina,1051,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1019,Benjamin,1761-04-19,baptism,,,sacramental record,,,,,child of Jenny,1056,child of Dick,1052,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1020,Catherine,1761-04-05,baptism,,,sacramental record,,,,,child of Jenny,1054,child of Jos',1055,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1021,Nell,1759-12-27,baptism,,strike [dead] - Jan.,sacramental record,,,,,child of Henny,1057,child of Billy,1058,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
1023,Elizabeth,1762-09-10,baptism,,,sacramental record,,,,,child of Henny,1057,child of Billy,1058,"Port Tobacco, St. Thomas's Manor",George Hunter,J004,,,MPA-3-8-OldRecords-St.ThomasBirthList-1749.json,
