os:id,dcterms:identifier ,dcterms:title ,foaf:firstName ,foaf:lastName ,foaf:status ,
966,J001,Andrew White,Andrew,White,Jesuit,
967,J002,James Walton,James,Walton,Jesuit,
968,J003,Joseph Mosley,Joseph,Mosley,Jesuit,
969,J004,George Hunter ,George,Hunter,Jesuit,
970,J005,Robert Molyneux,Robert,Molyneax,Jesuit,
971,J006,John Carroll,John,Carroll,Jesuit,
972,J007,John McElroy,John,McElroy,Jesuit,
973,J008,John Aston,John,Ashton,Jesuit,
974,J009,Fidele de Grivel,Fidele,de Grivel,Jesuit,
975,J010,Hugh Matthews,Hugh,Matthews,Jesuit,
976,J011,Francis Neale,Francis,Neale,Jesuit,
977,J012,Enoch Fenwick,Enoch,Fenwick,Jesuit,
978,J013,Benedict Fenwick,Benedict,Fenwick,Jesuit,
979,J014,Francis Brosius,Francis,Brosius,Jesuit,
980,J015,G.B. Bitouzey,G.B.,Bitouzey,Jesuit,
981,J016,Francis Beestow,Francis,Beestow,Jesuit,
982,J017,Charles Sewall,Charles,Sewall,Jesuit,
983,J018,Leonard Edelen,Leonard,Edelen,Jesuit,
984,J019,Francis Malene,Francis,Malene,Jesuit,
985,J020,Robert Plunkitt,Robert,Plunkitt,Jesuit,
986,J021,Charles Peale,Charles,Peale,Jesuit,
987,J022,Charles Neale,Charles,Neale,Jesuit,
988,J023,William Pasquet,William,Pasquet,Jesuit,
989,J024,Anthony Kohlman,Anthony,Kohlman,Jesuit,
990,J025,Adam Marshall,Adam,Marshall,Jesuit,
991,J026,Stephen Dubuisson,Stephen,Dubuisson,Jesuit,
992,J027,William McSherry,William,McSherry,Jesuit,
993,J028,Thomas Mulledy,Thomas,Mulledy,Jesuit,
994,J029,Giovanni Grassi,Giovanni,Grassi,Jesuit,
995,J030,Joseph Mobberly,Joseph,Mobberly,Jesuit,
996,J031,Peter Kenny,Peter,Kenney,Jesuit,
997,J032,Francis Dzierozynski,Francis,Dzierozynski,Jesuit,
998,J033,Joseph Carbery,Joseph,Carbery,Jesuit,
999,J034,Thomas Lilly,Thomas,Lilly,Jesuit,
1000,J035,Ignatius Combs,Ignatius,Combs,Jesuit,
1001,J036,Charles Lancaster,Charles,Lancaster,Jesuit,
1002,J037,Peter Havermans,Peter,Havermans,Jesuit,
1003,J038,Jan Roothaan,Jan,Roothaan,Jesuit,
1004,J039,John Lewis,John,Lewis,Jesuit,
1005,J040,J.W. Beschter,,Beschter,Jesuit,
1006,J041,Adam Marshall,Adam,Marshall,Jesuit,
1007,J042,Richard McSherry,Richard,McSherry,Jesuit,
1008,J043,Peter Epinette,Peter,Epinette,Jesuit,
1009,J044,Jerome Mudd,Jerome,Mudd,Jesuit,Is this really Aloyius?
1010,J045,Joseph Marshall,Joseph,Marshall,Jesuit,
1011,J046,John Ambrose Sauge,John Ambrose,Sauge,Jesuit,
1012,J047,Notley Young,Notley,Young,Jesuit,
1013,J048,George Attwood,George,Attwood,Jesuit,
1014,J049,George Fenwick,George,Fenwick,Jesuit,
1015,J050,Ignatius Brooks,Ignatius,Brooks,Jesuit,
1016,J051,James Griffin,James,Griffin,Jesuit,
1017,J052,John Cary,John,Cary,Jesuit,
1018,J053,P. Leavy,P.,Leavy,Jesuit,
1019,J054,F.H. Van Vechel,F.H.,Van Vechel,Jesuit,
1020,J055,F. Van Quickenborne,F.,Van Quickenborne,Jesuit,
1021,J056,F. Timmermans,F.,Timmermans,Jesuit,
1022,J057,John Smith,John,Smith,Jesuit,
1023,J058,R. O. Woodley,R.O.,Woodley,Jesuit,
2115,J059,Peter Joannes,Peter,Joannes,Jesuit,
3629,J060,William Hunter,William,Hunter,Jesuit,
,J061,Fr. Verheagan,,Verheagan,Jesuit,
