Identifier,Title,Date,Date type,Note,Type,File,Freedom Status,Age,Value,Estimated Value,Relationship,Identifier,Relationship,Identifier,Location,SJ,Identifier,Source
PC001,Patrick Barnes,1797-08-15,contract,blacksmith,legal,,free ,,,,knows of Ambrose Marechal,NJ022,,,Cecil County,,,MPA-30-3-Marechal-PatrickBarnes-Contract-1797-08-15.json
PC002,Old Free Abraham,1810-04-06,accounts,buying food and breaking flax,accounts,,free ,,,,,,,,St. Inigoes,Jospeph Mobberly,,MPA-43-3-StInigoesBlacksmithAcct-1810.json
PC002,Old Free Abraham,1810-06-22,accounts,buying food and breaking flax,accounts,,free ,,,,,,,,St. Inigoes,Jospeph Mobberly,,MPA-43-3-StInigoesBlacksmithAcct-1810.json
PC002,Old Free Abraham,1810-08-10,accounts,buying food and breaking flax,accounts,,free ,,,,,,,,St. Inigoes,Jospeph Mobberly,,MPA-43-3-StInigoesBlacksmithAcct-1810.json
PC003,Free Nacy,1810-05-10,accounts,plows and mending of tools,accounts,,free ,,,,,,,,St. Inigoes,Jospeph Mobberly,,MPA-43-3-StInigoesBlacksmithAcct-1810.json
PC004,Dick,1810-06-05,accounts,"buying food, shoes, and files; working sawing planks and rafters",accounts,,free ,,,,,,,,St. Inigoes,Jospeph Mobberly,,MPA-43-3-StInigoesBlacksmithAcct-1810.json
PC004,Dick,1810-12-19,accounts,"buying food, shoes, and files; working sawing planks and rafters",accounts,,free ,,,,,,,,St. Inigoes,Jospeph Mobberly,,MPA-43-3-StInigoesBlacksmithAcct-1810.json
PC005,Gabe,1810-06-05,accounts,"buying food, shoes, and files; working sawing planks and rafters",accounts,,free ,,,,,,,,St. Inigoes,Jospeph Mobberly,,MPA-43-3-StInigoesBlacksmithAcct-1810.json
PC005,Gabe,1810-12-19,accounts,"buying food, shoes, and files; working sawing planks and rafters",accounts,,free ,,,,,,,,St. Inigoes,Jospeph Mobberly,,MPA-43-3-StInigoesBlacksmithAcct-1810.json
PC006,Free Charles,1811-06-08,accounts,buying cornmeal,accounts,,free ,,,,,,,,St. Inigoes,Jospeph Mobberly,,MPA-43-3-StInigoesBlacksmithAcct-1810.json
PC004,Dick,1810-1812,accounts,metal purchases and wood processing,accounts,,free ,,,,,,,,St. Inigoes,Jospeph Mobberly,,MPA-43-3-StInigoesBlacksmithAcct-1811-1814.json
PC005,Gabe,,,,,,,,,,,,,,,,,MPA-43-3-StInigoesBlacksmithAcct-1811-1814.json
,image to process of more,,,,,,,,,,,,,,,,,MPA-43-3-StInigoesBlacksmithAcct-1811-1814.json
PC005,Gabe,1813-04-10,accounts,pd for 19.5 bushel of oysters @ 12.5cts $2.43.5,accounts,,free ,,,,,,,,St. Inigoes,Jospeph Mobberly,,MPA-43-3-StInigoesBlacksmithAcct-1811-1814.json
,,,,,,,,,,,,,,,,,,MPA-43-3-StInigoesBlacksmithAcct-1811-1814.json
,,,,,,,,,,,,,,,,,,MPA-43-3-StInigoesBlacksmithAcct-1811-1814.json
PC007,George,1812-01-01,accounts,buying shoes and stockings and cloth and described as hirelings,accounts,,free ,,,,,,,,St. Inigoes,Jospeph Mobberly,,MPA-43-3-StInigoesBlacksmithAcct-1811-1814.json
PC008,Phillip,1812-01-01,accounts,buying shoes and stockings and cloth and described as hirelings,accounts,,free ,,,,,,,,St. Inigoes,Jospeph Mobberly,,MPA-43-3-StInigoesBlacksmithAcct-1811-1814.json
PC009,Ignatius,1812-01-01,accounts,buying shoes and stockings and cloth and described as hirelings,accounts,,free ,,,,,,,,St. Inigoes,Jospeph Mobberly,,MPA-43-3-StInigoesBlacksmithAcct-1811-1814.json
PC010,Bill,1812-01-01,accounts,buying shoes and stockings and cloth and described as hirelings,accounts,,free ,,,,,,,,St. Inigoes,Jospeph Mobberly,,MPA-43-3-StInigoesBlacksmithAcct-1811-1814.json
PC006,Free Charles,1813,accounts,buying clothes and paid for cutting wood and digging ditches,accounts,,free ,,,,,,,,St. Inigoes,Jospeph Mobberly,,MPA-43-3-StInigoesBlacksmithAcct-1811-1814.json
PC011,Stephen,1813,accounts,buying clothes and paid for cutting wood and digging ditches,accounts,,free ,,,,,,,,St. Inigoes,Jospeph Mobberly,,MPA-43-3-StInigoesBlacksmithAcct-1811-1814.json
PC012,Bob,1813,accounts,buying clothes and paid for cutting wood and digging ditches,accounts,,free ,,,,,,,,St. Inigoes,Jospeph Mobberly,,MPA-43-3-StInigoesBlacksmithAcct-1811-1814.json
PC013,Free Charles,1813-05-01,accounts,hired for the brickyard,accounts,,free ,,,,,,,,St. Inigoes,Jospeph Mobberly,,MPA-43-3-StInigoesBlacksmithAcct-1811-1814.json
PC014,Robert,1813-05-01,accounts,hired for the brickyard,accounts,,free ,,,,,,,,St. Inigoes,Jospeph Mobberly,,MPA-43-3-StInigoesBlacksmithAcct-1811-1814.json
PC015,Mickel,1813-05-01,accounts,hired for the brickyard,accounts,,free ,,,,,,,,St. Inigoes,Jospeph Mobberly,,MPA-43-3-StInigoesBlacksmithAcct-1811-1814.json
PC016,William,1813-05-01,accounts,hired for the brickyard,accounts,,free ,,,,,,,,St. Inigoes,Jospeph Mobberly,,MPA-43-3-StInigoesBlacksmithAcct-1811-1814.json
PC017,Curtis,1813-05-01,accounts,hired for the brickyard,accounts,,free ,,,,,,,,St. Inigoes,Jospeph Mobberly,,MPA-43-3-StInigoesBlacksmithAcct-1811-1814.json
PC018,Joseph,1826-07,accounts,Sjs bought feed corn in exchange for breeding his mare ��_��_��_ he is a mason,accounts,,free ,,,,,,,,St. Inigoes,Joseph Carbery,,MPA-44-1-StInigosRentLedger-1804-1832.json
PC018,Joseph,1828-07,accounts,Sjs bought feed corn in exchange for breeding his mare ��_��_��_ he is a mason,accounts,,free ,,,,,,,,St. Inigoes,Joseph Carbery,,MPA-44-1-StInigosRentLedger-1804-1832.json
PC019,Lewis,1814-01-27,accounts,hire of,accounts,,free ,,,,,,,,Newtown,Ignatius Brooks,J050,MPA-45-1-NewtownLedger-1794-1816.json
PC020,Peter,1816-03-05,accounts,paid for a canoe for negro Peter Brick Layer,accounts,,free ,,,,,,,,Newtown,Ignatius Brooks,J050,MPA-45-1-NewtownLedger-1794-1816.json
PC021,Anna,1820-07,parenthood,,sacramental record,,free ,,,,parent of James,4105,spouse of Jame,4106,White Marsh,F.H. VanVechel,J054,1818-MPC-3-4-WhiteMarshBaptismalRegistry-1818-1822.json
PC022,Charity,1820-06-27,parenthood,,sacramental record,,free ,,,,parent of Monica,4107,spouse of Aaron,4108,White Marsh,F. Van Quickenborne,J055,1818-MPC-3-4-WhiteMarshBaptismalRegistry-1818-1822.json
PC023,Elizabeth,1820-06-28,godparent,,sacramental record,,free ,,,,godparent of Monica,4107,sibling of Charity,PC023,White Marsh,F. Van Quickenborne,J055,1818-MPC-3-4-WhiteMarshBaptismalRegistry-1818-1822.json
PC024,Crise Anna Griffen,1821-05-06,godparent,,sacramental record,,?,,,,godparent of Crise Anna Queen,4109,,,White Marsh,F. Timmermans,J056,1818-MPC-3-4-WhiteMarshBaptismalRegistry-1818-1822.json
PC025,Mary Parker,1822-11-01,parenthood,,sacramental record,,free ,,,,parent of Louisa Parker,4137,spouse of Henry,4138,White Marsh,F. Van Quickenborne,J055,1818-MPC-3-4-WhiteMarshBaptismalRegistry-1818-1822.json
PC026,Mary,1828-05-02,parenthood,,sacramental record,,,,,,parent of William,4166,spouse of James,4167,White Marsh,,,1818-MPC-3-4-WhiteMarshBaptismalRegistry-1818-1822.json
PC027,Lysa,1828-05-02,godparent,,sacramental record,,,,,,godparent of William,4166,,,White Marsh,,,1818-MPC-3-4-WhiteMarshBaptismalRegistry-1818-1822.json
PC028,James Queen,1829-11-29,parenthood,,sacramental record,,?,,,,spouse of Harriett Queen,4180,parent of Martha A. Queen,4179,White Marsh,John Smith,J057,1818-MPC-3-4-WhiteMarshBaptismalRegistry-1818-1822.json
PC029,Bill,1810-07-06,sale,,accounts,,?,,,,spouse of Liddy,7101,,,Georgetown,,,GUArchives-DayBook-1809-1812.json
