os:id,dcterms:identifier ,dcterms:title ,foaf:firstName ,foaf:lastName ,foaf:status ,dcterms:description ,dcterms:isReferencedBy 
1025,NJ001,Leonard Neale,Leonard,Neale,white lay person,,
1026,NJ002,Ambrose Marechal,Ambrose,Marechal,white lay person,"Suplician, third Archbishop of Baltimore. Spends time at Bohemia and on the faculty at Georgetown College. https://en.wikipedia.org/wiki/Ambrose_Mar%C3%A9chal",
1027,NJ003,Charles Carroll,Charles,Carroll,white lay person,,
1028,NJ004,James Carroll,James,Carroll,white lay person,,
1029,NJ005,Elizabeth Norris,Elizabeth,Norris,white lay person,Contract,
1030,NJ006,Harry,Harry,,white lay person,,
1031,NJ007,John Butler,John,Butler,white lay person,Contract,
1032,NJ008,Dorothy Digges,Dorothy,Digges,white lay person,,
1033,NJ009,Nicholas Lewis Sewall,Nicholas Lewis,Sewall,white lay person,,
1034,NJ010,Henry Young,Henry,Young,white lay person,purchasing enslaved people from White Marsh in 1824; Own s Nelly s husband Peter ,
1035,NJ011,"Outerbridge Horsey, III",Outerbridge ,Horsey,white lay person,1832 sales talks   St. Thomas s;  John Lee s Brother-in-law ,
1036,NJ012,John Lee,John,Lee,white lay person,1832 sales talks   St. Thomas s;  Horsey s Brother-in-Law ,
1037,NJ013,Mr. Masi,,Masi,white lay person,"Late 1820s the Corp authorizes the sale of a child, boy or girl from any of the farms",
1038,NJ014,Thomas Curd,Thomas,Curd,white lay person,,
1039,NJ015,George Fenwick I,George ,Fenwick I,white lay person,"Father of Francis Fenwick and George Fenwick, II, SJ",
1040,NJ016,Philip Fenwick ,Philip ,Fenwick ,white lay person,Father of Enoch Fenwick,
1041,NJ017,William Fenwick,William,Fenwick ,white lay person,Uncle of Enoch Fenwick and (?) Benedict Fenwick,
1042,NJ018,Monica Fenwick,Monica,Fenwick ,white lay person,Spouse of William Fenwick (NJ017),MPA-39-8-NLSewallInventory-1802-11-11.json
