Year,schema:location/0/display_title,Sum
1754,Bohemia,1
1755,Bohemia,1
1756,Bohemia,1
1758,Bohemia,1
1769,Bohemia,1
1819,Newtown,2
1821,Newtown,1
1830,Newtown,2
1831,Newtown,4
1832,Newtown,4
1833,Newtown,1
1765,St. Joseph's Manor,1
1771,St. Joseph's Manor,1
1773,St. Joseph's Manor,2
1775,St. Joseph's Manor,1
1777,St. Joseph's Manor,1
1778,St. Joseph's Manor,1
1780,St. Joseph's Manor,1
1781,St. Joseph's Manor,1
1782,St. Joseph's Manor,1
1786,St. Joseph's Manor,1
1799,St. Joseph's Manor,1
1827,St. Thomas's Manor,1
1828,St. Thomas's Manor,3
1829,St. Thomas's Manor,4
1830,St. Thomas's Manor,3
1831,St. Thomas's Manor,1
1832,St. Thomas's Manor,1
1819,White Marsh,2
1820,White Marsh,4
1821,White Marsh,4
1822,White Marsh,7
1823,White Marsh,1
1827,White Marsh,2
1828,White Marsh,2
1829,White Marsh,4
1831,White Marsh,4
1832,White Marsh,12
