Year,Bohemia,Newtown,Port Tobacco,St. Inigoe’s,St. Joseph’s,St. Thomas’s,White Marsh
1749,,,,,,,
1750,,,,,,,
1751,,,,,,,
1752,,,,,,,
1753,,,,,,,
1754,1,,,,,,
1755,1,,,,,,
1756,1,,,,,,
1757,,,,,,,
1758,1,,,,,,
1759,,,,,,,
1760,,,,,,,
1761,,,,,,,
1762,,,,,,,
1763,,,,,,,
1764,,,,,,,
1765,,,,,1,,
1766,,,,,,,
1767,,,,,,,
1768,,,,,,,
1769,1,,,,,,
1770,,,,,,,
1771,,,,,1,,
1772,,,,,,,
1773,,,,,2,,
1774,,,,,,,
1775,,,,,1,,
1776,,,,,,,
1777,,,,,1,,
1778,,,,,1,,
1779,,,,,,,
1780,,,,,1,,
1781,,,,,1,,
1782,,,,,1,,
1783,,,,,,,
1784,,,,,,,
1785,,,,,,,
1786,,,,,1,,
1787,,,,,,,
1788,,,,,,,
1789,,,,,,,
1790,,,,,,,
1791,,,,,,,
1792,,,,,,,
1793,,,,,,,
1794,,,,,,,
1795,,,,,,,
1796,,,,,,,
1797,,,,,,,
1798,,,,,,,
1799,,,,,1,,
1800,,,,,,,
1801,,,,,,,
1802,,,,,,,
1803,,,,,,,
1804,,,,,,,
1805,,,,,,,
1806,,,,,,,
1807,,,,,,,
1808,,,,,,,
1809,,,,,,,
1810,,,,,,,
1811,,,,,,,
1812,,,,,,,
1813,,,,,,,
1814,,,,,,,
1815,,,,,,,
1816,,,,,,,
1817,,,,,,,
1818,,,,,,,
1819,,2,,,,,2
1820,,,,,,,4
1821,,1,,,,,4
1822,,,,,,,7
1823,,,,,,,1
1824,,,,,,,
1825,,,,,,,
1826,,,,,,,
1827,,,,,,1,2
1828,,,,,,3,2
1829,,,,,,4,4
1830,,2,,,,3,
1831,,4,,,,1,4
1832,,4,,,,1,12
1833,,1,,,,,
1834,,,,,,,
1835,,,,,,,
1836,,,,,,,
1837,,,,,,,
1838,,,,,,,
1839,,,,,,,
1840,,,,,,,
