Year,Place,Sum
1750,Bohemia,2
1752,Bohemia,1
1754,Bohemia,1
1755,Bohemia,1
1756,Bohemia,1
1758,Bohemia,1
1752,Newtown,2
1754,Newtown,1
1756,Newtown,1
1758,Newtown,2
1759,Newtown,3
1760,Newtown,1
1761,Newtown,3
1762,Newtown,3
1763,Newtown,1
1764,Newtown,1
1765,Newtown,4
1768,Newtown,1
1769,Newtown,2
1783,Newtown,2
1784,Newtown,2
1786,Newtown,1
1787,Newtown,1
1791,Newtown,2
1792,Newtown,1
1796,Newtown,1
1813,Newtown,1
1815,Newtown,1
1817,Newtown,1
1823,Newtown,2
1825,Newtown,2
1826,Newtown,1
1827,Newtown,2
1752,Newtown,1
1765,Newtown,2
1766,Newtown,2
1767,Newtown,1
1786,Newtown,1
1787,Newtown,1
1789,Newtown,4
1793,Newtown,2
1794,Newtown,1
1795,Newtown,1
1796,Newtown,4
1806,Newtown,1
1807,Newtown,1
1809,Newtown,1
1811,Newtown,2
1812,Newtown,1
1814,Newtown,2
1815,Newtown,1
1816,Newtown,1
1819,Newtown,2
1820,Newtown,1
1821,Newtown,2
1822,Newtown,1
1824,Newtown,1
1825,Newtown,1
1828,Newtown,1
1830,Newtown,1
1831,Newtown,3
1749,Port Tobacco,4
1754,Port Tobacco,1
1755,Port Tobacco,2
1756,Port Tobacco,1
1758,Port Tobacco,1
1759,Port Tobacco,2
1766,Port Tobacco,1
1755,Port Tobacco,3
1756,Port Tobacco,1
1759,Port Tobacco,2
1761,Port Tobacco,2
1762,Port Tobacco,2
1763,Port Tobacco,1
1764,Port Tobacco,1
1765,Port Tobacco,3
1767,Port Tobacco,2
1768,Port Tobacco,1
1770,Port Tobacco,1
1773,Port Tobacco,3
1775,Port Tobacco,2
1776,Port Tobacco,2
1777,Port Tobacco,3
1778,Port Tobacco,3
1765,St. Joseph's Manor,1
