Year,Bohemia,Newtown,Port Tobacco,St. Inigoe’s,St. Joseph’s,St. Thomas’s,White Marsh
1749,,,4,,,,
1750,2,,,,,,
1751,,,,,,,
1752,1,3,,,,,
1753,,,,,,,
1754,1,1,1,,,,
1755,1,,5,,,,
1756,1,1,2,,,,
1757,,,,,,,
1758,1,2,1,,,,
1759,,3,4,,,,
1760,,1,,,,,
1761,,3,2,,,,
1762,,3,2,,,,
1763,,1,1,,,,
1764,,1,1,,,,
1765,,6,3,,1,,
1766,,2,1,,,,
1767,,1,2,,,,
1768,,1,1,,,,
1769,,2,,,,,
1770,,,1,,,,
1771,,,,,,,
1772,,,,,,,
1773,,,3,,,,
1774,,,,,,,
1775,,,2,,,,
1776,,,2,,,,
1777,,,3,,,,
1778,,,3,,,,
1779,,,,,,,
1780,,,,,,,
1781,,,,,,,
1782,,,,,,,
1783,,2,,,,,
1784,,2,,,,,
1785,,,,,,,
1786,,2,,,,,
1787,,2,,,,,
1788,,,,,,,
1789,,4,,,,,
1790,,,,,,,
1791,,2,,,,,
1792,,1,,,,,
1793,,2,,,,,
1794,,1,,,,,
1795,,1,,,,,
1796,,5,,,,,
1797,,,,,,,
1798,,,,,,,
1799,,,,,,,
1800,,,,,,,
1801,,,,,,,
1802,,,,,,,
1803,,,,,,,
1804,,,,,,,
1805,,,,,,,
1806,,1,,,,,
1807,,1,,,,,
1808,,,,,,,
1809,,1,,,,,
1810,,,,,,,
1811,,2,,,,,
1812,,1,,,,,
1813,,1,,,,,
1814,,2,,,,,
1815,,2,,,,,
1816,,1,,,,,
1817,,1,,,,,
1818,,,,,,,
1819,,2,,,,,
1820,,1,,,,,
1821,,2,,,,,
1822,,1,,,,,
1823,,2,,,,,
1824,,1,,,,,
1825,,3,,,,,
1826,,1,,,,,
1827,,2,,,,,
1828,,1,,,,,
1829,,,,,,,
1830,,1,,,,,
1831,,3,,,,,
1832,,,,,,,
1833,,,,,,,
1834,,,,,,,
1835,,,,,,,
1836,,,,,,,
1837,,,,,,,
1838,,,,,,,
1839,,,,,,,
1840,,,,,,,
