Year,St. Inigoe’s,Newtown,Port Tobacco,St. Thomas’s,Bohemia,White Marsh,Fingale,St. Joseph’s
1749,,,4,,,,,
1750,,,,,2,,,
1751,,,,,,,,
1752,,3,,,1,,,
1753,,,,,,,,
1754,,1,1,,2,,,
1755,,,5,,2,,,
1756,,1,2,,2,,,
1757,,,,,,,,
1758,,1,1,,2,,,
1759,,3,4,,,,,
1760,,1,,,,,,
1761,,3,2,,,,,
1762,,3,2,,,,,
1763,,1,1,,,,,
1764,,1,1,,,,,
1765,,6,3,,,,,2
1766,,2,1,,,,,
1767,,1,2,,,,,
1768,,1,1,,,,,
1769,,2,,,1,,,
1770,,,1,,,,,
1771,,,,,,,,1
1772,,,,,,,,
1773,,,3,,,,,2
1774,,,,,,,,
1775,,,2,,,,,1
1776,,,2,,,,,
1777,,,3,,,,,1
1778,,,3,,,,,1
1779,,,,,,,,
1780,,,,,,,,1
1781,,,,,,,,1
1782,,,,,,,,1
1783,,2,,,,,,
1784,,2,,,,,,
1785,,,,,,,,
1786,,2,,,,,,1
1787,,1,,,,,,
1788,,,,,,,,
1789,,4,,,,,,
1790,,,,,,,,
1791,,2,,,,,,
1792,,1,,,,,,
1793,,2,,,,,,
1794,,1,,,,,,
1795,,1,,,,,,
1796,,5,,,,,,
1797,,,,,,,,
1798,,,,,,,,
1799,,,,,,,,1
1800,,,,,,,,
1801,,,,,,,,
1802,,,,,,,,
1803,,,,,,,,
1804,,,,,,,,
1805,,,,,,,,
1806,,1,,,,,,
1807,,1,,,,,,
1808,,,,,,,,
1809,,1,,,,,,
1810,,,,,,,,
1811,,2,,,,,,
1812,,1,,,,,,
1813,,1,,,,,,
1814,,2,,,,,,
1815,,2,,,,,,
1816,,1,,,,,,
1817,,1,,,,,,
1818,,,,,,,,
1819,,4,,,,2,,
1820,,1,,,,4,,
1821,,3,,,,4,,
1822,,1,,,,7,,
1823,,2,,,,1,,
1824,,1,,,,,,
1825,,3,,,,,,
1826,,1,,,,,,
1827,,2,,1,,2,,
1828,,1,,3,,2,,
1829,,,,4,,4,,
1830,,3,,3,,,,
1831,,7,,1,,4,,
1832,,4,,1,,12,,
1833,,1,,,,,,
1834,,,,,,,,
1835,,,,,,,,
1836,,,,,,,,
1837,,,,,,,,
1838,,,,,,,,
1839,,,,,,,,
1840,,,,,,,,
