dcterms:type/0/@value,Year,count,sum
baptism,1819,,
baptism,1820,,
baptism,1754,,
baptism,1755,,
baptism,1756,,
baptism,1758,,
baptism,1765,,
baptism,1769,,
baptism,1771,,
baptism,1773,,
baptism,1773,,
baptism,1775,,
baptism,1777,,
baptism,1778,,
baptism,1780,,
baptism,1781,,
baptism,1782,,
baptism,1786,,
baptism,1799,,
baptism,1819,,
baptism,1819,,
baptism,1819,,
baptism,1820,,
baptism,1820,,
baptism,1820,,
baptism,1821,,
baptism,1821,,
baptism,1821,,
baptism,1821,,
baptism,1821,,
baptism,1822,,
baptism,1822,,
baptism,1822,,
baptism,1822,,
baptism,1822,,
baptism,1822,,
baptism,1822,,
baptism,1823,,
baptism,1827,,
baptism,1827,,
baptism,1827,,
baptism,1828,,
baptism,1828,,
baptism,1828,,
baptism,1828,,
baptism,1828,,
baptism,1829,,
baptism,1829,,
baptism,1829,,
baptism,1829,,
baptism,1829,,
baptism,1829,,
baptism,1829,,
baptism,1829,,
baptism,1830,,
baptism,1830,,
baptism,1830,,
baptism,1830,,
baptism,1830,,
baptism,1831,,
baptism,1831,,
baptism,1831,,
baptism,1831,,
baptism,1831,,
baptism,1831,,
baptism,1831,,
baptism,1831,,
baptism,1831,,
baptism,1832,,
baptism,1832,,
baptism,1832,,
baptism,1832,,
baptism,1832,,
baptism,1832,,
baptism,1832,,
baptism,1832,,
baptism,1832,,
baptism,1832,,
baptism,1832,,
baptism,1832,,
baptism,1832,,
baptism,1832,,
baptism,1832,,
baptism,1832,,
baptism,1833,,
birth,1749,,
birth,1749,,
birth,1749,,
birth,1749,,
birth,1750,,
birth,1750,,
birth,1752,,
birth,1752,,
birth,1754,,
birth,1754,,
birth,1755,,
birth,1755,,
birth,1756,,
birth,1756,,
birth,1758,,
birth,1758,,
birth,1758,,
birth,1759,,
birth,1759,,
birth,1759,,
birth,1759,,
birth,1759,,
birth,1760,,
birth,1761,,
birth,1761,,
birth,1761,,
birth,1762,,
birth,1762,,
birth,1762,,
birth,1763,,
birth,1764,,
birth,1765,,
birth,1765,,
birth,1765,,
birth,1765,,
birth,1766,,
birth,1768,,
birth,1769,,
birth,1769,,
birth,1783,,
birth,1783,,
birth,1784,,
birth,1784,,
birth,1786,,
birth,1787,,
birth,1791,,
birth,1791,,
birth,1792,,
birth,1796,,
birth,1813,,
birth,1815,,
birth,1817,,
birth,1823,,
birth,1823,,
birth,1825,,
birth,1825,,
birth,1826,,
birth,1827,,
birth,1827,,
birth,1752,,
birth,1752,,
birth,1754,,
birth,1755,,
birth,1755,,
birth,1755,,
birth,1755,,
birth,1756,,
birth,1756,,
birth,1758,,
birth,1759,,
birth,1759,,
birth,1759,,
birth,1761,,
birth,1761,,
birth,1762,,
birth,1762,,
birth,1763,,
birth,1764,,
birth,1765,,
birth,1765,,
birth,1765,,
birth,1765,,
birth,1765,,
birth,1765,,
birth,1766,,
birth,1766,,
birth,1767,,
birth,1767,,
birth,1767,,
birth,1768,,
birth,1770,,
birth,1773,,
birth,1773,,
birth,1773,,
birth,1775,,
birth,1775,,
birth,1776,,
birth,1776,,
birth,1777,,
birth,1777,,
birth,1777,,
birth,1778,,
birth,1778,,
birth,1778,,
birth,1786,,
birth,1787,,
birth,1789,,
birth,1789,,
birth,1789,,
birth,1789,,
birth,1793,,
birth,1793,,
birth,1794,,
birth,1795,,
birth,1796,,
birth,1796,,
birth,1796,,
birth,1796,,
birth,1806,,
birth,1807,,
birth,1809,,
birth,1811,,
birth,1811,,
birth,1812,,
birth,1814,,
birth,1814,,
birth,1815,,
birth,1816,,
birth,1819,,
birth,1819,,
birth,1820,,
birth,1821,,
birth,1821,,
birth,1822,,
birth,1824,,
birth,1825,,
birth,1828,,
birth,1830,,
birth,1831,,
birth,1831,,
birth,1831,,
death,1790,,
death,1790,,
death,1791,,
death,1812,,
death,1812,,
death,1812,,
death,1812,,
death,1756,,
death,1766,,
death,1781,,
death,1784,,
death,1790,,
death,1790,,
death,1790,,
death,1793,,
death,1793,,
death,1796,,
death,1809,,
death,1815,,
death,1820,,
death,1824,,
death,1826,,
death,1826,,
death,1827,,
death,1831,,
death,1832,,
inventory,1752,,
inventory,1752,,
inventory,1752,,
inventory,1752,,
inventory,1752,,
inventory,1752,,
inventory,1752,,
inventory,1752,,
inventory,1752,,
inventory,1752,,
inventory,1752,,
inventory,1752,,
inventory,1752,,
inventory,1752,,
inventory,1752,,
inventory,1752,,
inventory,1752,,
inventory,1752,,
inventory,1763,,
inventory,1763,,
inventory,1763,,
inventory,1763,,
inventory,1763,,
inventory,1763,,
inventory,1763,,
inventory,1763,,
inventory,1763,,
inventory,1763,,
inventory,1763,,
inventory,1763,,
inventory,1763,,
inventory,1763,,
inventory,1763,,
inventory,1763,,
inventory,1763,,
inventory,1763,,
inventory,1763,,
inventory,1763,,
inventory,1763,,
inventory,1763,,
inventory,1763,,
inventory,1763,,
inventory,1763,,
inventory,1763,,
inventory,1763,,
inventory,1763,,
inventory,1763,,
inventory,1763,,
inventory,1763,,
inventory,1763,,
inventory,1763,,
inventory,1763,,
inventory,1763,,
inventory,1763,,
inventory,1763,,
inventory,1763,,
inventory,1763,,
inventory,1763,,
inventory,1763,,
inventory,1763,,
inventory,1763,,
inventory,1763,,
inventory,1763,,
inventory,1763,,
inventory,1763,,
inventory,1763,,
inventory,1763,,
inventory,1763,,
inventory,1763,,
inventory,1763,,
inventory,1763,,
inventory,1763,,
inventory,1763,,
inventory,1763,,
inventory,1763,,
inventory,1763,,
inventory,1763,,
inventory,1763,,
inventory,1763,,
inventory,1763,,
inventory,1763,,
inventory,1763,,
inventory,1763,,
inventory,1763,,
inventory,1763,,
inventory,1763,,
inventory,1763,,
inventory,1763,,
inventory,1763,,
inventory,1763,,
inventory,1763,,
inventory,1763,,
inventory,1763,,
inventory,1763,,
inventory,1763,,
inventory,1763,,
inventory,1763,,
inventory,1763,,
inventory,1763,,
inventory,1763,,
inventory,1763,,
inventory,1763,,
inventory,1763,,
inventory,1763,,
inventory,1788,,
inventory,1788,,
inventory,1788,,
inventory,1788,,
inventory,1788,,
inventory,1788,,
inventory,1788,,
inventory,1788,,
inventory,1788,,
inventory,1788,,
inventory,1788,,
inventory,1788,,
inventory,1788,,
inventory,1788,,
inventory,1788,,
inventory,1788,,
inventory,1788,,
inventory,1788,,
inventory,1788,,
inventory,1788,,
inventory,1788,,
inventory,1788,,
inventory,1810,,
inventory,1810,,
inventory,1810,,
inventory,1810,,
inventory,1810,,
inventory,1810,,
inventory,1810,,
inventory,1810,,
inventory,1810,,
inventory,1810,,
inventory,1811,,
inventory,1811,,
inventory,1811,,
inventory,1812,,
inventory,1812,,
inventory,1812,,
inventory,1812,,
inventory,1812,,
inventory,1812,,
inventory,1812,,
inventory,1812,,
inventory,1812,,
inventory,1812,,
inventory,1813,,
inventory,1813,,
inventory,1813,,
inventory,1813,,
inventory,1813,,
inventory,1813,,
inventory,1813,,
inventory,1813,,
inventory,1813,,
inventory,1813,,
inventory,1814,,
inventory,1814,,
inventory,1814,,
inventory,1814,,
inventory,1814,,
inventory,1814,,
inventory,1814,,
inventory,1814,,
inventory,1814,,
inventory,1814,,
inventory,1814,,
inventory,1814,,
inventory,1820,,
inventory,1820,,
inventory,1820,,
inventory,1820,,
inventory,1820,,
inventory,1820,,
inventory,1820,,
inventory,1820,,
inventory,1820,,
inventory,1820,,
inventory,1820,,
inventory,1820,,
inventory,1820,,
inventory,1820,,
inventory,1820,,
inventory,1820,,
inventory,1820,,
inventory,1820,,
inventory,1820,,
inventory,1820,,
inventory,1820,,
inventory,1820,,
inventory,1820,,
inventory,1820,,
inventory,1820,,
inventory,1820,,
inventory,1831,,
inventory,1831,,
inventory,1831,,
inventory,1831,,
inventory,1831,,
inventory,1831,,
inventory,1831,,
inventory,1831,,
inventory,1831,,
inventory,1831,,
inventory,1831,,
inventory,1831,,
inventory,1831,,
inventory,1831,,
inventory,1831,,
inventory,1831,,
inventory,1831,,
inventory,1831,,
inventory,1831,,
inventory,1831,,
inventory,1831,,
inventory,1831,,
inventory,1831,,
inventory,1831,,
inventory,1831,,
inventory,1831,,
inventory,1831,,
inventory,1831,,
inventory,1831,,
