Date,Purchases,Purchases Planning,Sales,Sales Planning,Freedom Petitions,Manumission,Manumission Planning,Run Aways
1727,,,12,,,,,
1728,,,,,,,,
1729,,,,,,,,
1730,,,,,,,,
1731,,,,,,,,
1732,,,,,,,,
1733,,,,,,,,
1734,,,,,,,,
1735,,,,,,,,
1736,,,,,,,,
1737,,,,,,,,
1738,,,,,,,,
1739,,,,,,,,
1740,,,,,,,,
1741,,,,,,,,
1742,,,,,,,,
1743,,,,,,,,
1744,,,,,,,,
1745,,,,,,,,
1746,,,,,,,,
1747,,,,,,,,
1748,,,,,,,,
1749,,,,,,,,
1750,,,,,,,,
1751,,,,,,,,
1752,,,,,,,,
1753,,,,,,,,
1754,,,,,,,,
1755,,,,,,,,
1756,,,,,,,,
1757,,,,,,,,
1758,,,,,,,,
1759,,,,,,,,
1760,,,,,,,,
1761,1,,,,,,,
1762,,,,,,,,
1763,,,,,,,,
1764,,,,,,,,
1765,,,,,,,,
1766,,,,,,,,
1767,,,,,,,,1
1768,,,,,,,,
1769,,,,,,,,
1770,,,,,,,,
1771,,,,,,,,
1772,,,,,,,,
1773,,,,,,,,
1774,,,,,,,,
1775,,,,,,,,1
1776,,,,,,,,
1777,,,,,,,,
1778,,,,,,,,
1779,,,,,,,,
1780,,,,,,,1,
1781,,,,,,,,
1782,,,,,,,,1
1783,,,,,,,,
1784,1,,2,,,,,
1785,,,,,,,,
1786,,,,,,,,
1787,,,,,,,,
1788,1,,,,,,,
1789,,,,,,,,
1790,,,4,,,,,
1791,,,5,,4,,,
1792,3,,4,,,,,
1793,,,3,,,,,
1794,2,,2,,22,,,
1795,4,,6,,,,,12
1796,1,,1,,1,11,1,
1797,,,2,,,1,,
1798,1,,1,,,,,2
1799,,,,3,,,,
1800,,,,,,,,
1801,1,,,,,,1,
1802,1,,,,,1,,
1803,2,,2,,,,,3
1804,,,,,,,,
1805,,,,,,1,,1
1806,,,1,1,,,,
1807,1,,,,,,,
1808,2,,,,,,,
1809,5,,13,1,1,,,1
1810,,,1,,2,,,
1811,,,1,,,,,
1812,2,,,,,,,
1813,,,5,5,,,,
1814,,,3,,,,,1
1815,,,1,,,,25,
1816,,,,,,1,,
1817,,,1,1,,,,
1818,,,1,1,,,,
1819,,,,,,,,
1820,,,,,,,,
1821,,,,,,,,
1822,,,,,,,,
1823,,,2,,,,,
1824,,,,3,,,,
1825,1,,,,,,,
1826,,,,1,,,,
1827,,,,,,,,
1828,,,,,,1,,
1829,,2,,,,,,1
1830,,,1,3,,,,
1831,1,,,,,,,
1832,,,1,6,,,,
1833,,,1,,,,2,
1834,,,,,,,,
1835,2,,,,,,,
1836,,,23,,,,,
1837,,,1,,,,,
1838,,,204,,,,,
1839,,,9,,,,,
