Source,Target
6055,6023
6032,6031
6000,6031
6003,6031
6005,6031
6010,6031
6016,6031
6000,6032
6003,6032
6005,6032
6010,6032
6016,6032
6034,6033
6001,6033
6004,6033
6007,6033
6014,6033
6022,6033
6001,6034
6004,6034
6007,6034
6014,6034
6022,6034
6045,6035
6006,6035
6011,6035
6017,6035
6021,6035
6027,6035
6030,6035
6037,6036
6008,6036
6013,6036
6019,6036
6025,6036
6008,6037
6013,6037
6019,6037
6025,6037
6039,6038
6009,6038
6012,6038
6023,6038
6028,6038
6129,6038
6009,6039
6012,6039
6023,6039
6028,6039
6015,6040
6040,6041
6015,6041
6162,6042
6018,6042
6026,6042
6020,6043
6024,6044
6006,6045
6011,6045
6017,6045
6021,6045
6027,6045
6030,6045
6104,6068
6106,6068
6195,6068
6068,6069
6075,6069
6081,6069
6174,6069
6183,6070
6070,6071
6087,6071
6138,6071
6141,6071
6143,6071
6154,6071
6155,6071
6071,6072
6070,6072
6087,6072
6138,6072
6141,6072
6143,6072
6154,6072
6155,6072
6189,6073
6109,6076
6076,6077
6079,6077
6080,6077
6082,6077
6083,6077
6094,6077
6110,6080
6084,6085
6092,6085
6095,6085
6098,6085
6102,6085
6085,6086
6084,6086
6092,6086
6095,6086
6098,6086
6102,6086
6079,6087
6135,6111
6115,6114
6121,6123
6131,6123
6134,6123
6136,6123
6142,6123
6147,6123
6152,6123
6122,6124
6121,6124
6131,6124
6134,6124
6136,6124
6142,6124
6147,6124
6152,6124
6077,6125
6124,6125
6130,6125
6133,6125
6144,6125
6153,6125
6125,6126
6077,6126
6124,6126
6130,6126
6133,6126
6144,6126
6153,6126
6127,6128
6132,6128
6135,6128
6128,6129
6127,6129
6132,6129
6135,6129
6088,6141
6093,6141
6096,6141
6097,6141
6103,6141
6108,6141
6149,6148
6150,6148
6158,6148
6151,6148
6148,6151
6150,6151
6158,6151
6141,6158
6088,6158
6093,6158
6096,6158
6097,6158
6103,6158
6108,6158
6018,6162
6026,6162
6029,6163
6163,6164
6029,6164
6091,6165
6099,6165
6100,6165
6101,6165
6105,6165
6107,6165
6182,6181
6180,6181
6180,6182
6185,6186
6191,6192
6193,6194
6073,6196
6179,6196
6069,7097
6068,7097
6075,7097
6081,7097
6174,7097
6073,7131
6189,7131
6196,7132
6073,7132
6179,7132
6068,7133
6104,7133
6106,7133
6195,7133
6165,7134
6091,7134
6099,7134
6100,7134
6101,7134
6105,7134
6107,7134
6077,7135
6076,7135
6079,7135
6080,7135
6082,7135
6083,7135
6094,7135
6192,7136
6191,7136
6070,7137
6183,7137
6177,PC031
6186,PC032
6185,PC032
6194,PC033
6193,PC033
