Source,Source Label,Edge,Target,Target Label
3000,Mary,,,
3001,Davy,,,
3002,Lucy,,,
3003,Maria,,,
3004,Child,child of,3003,Maria
3005,Child,child of,3003,Maria
3006,Child,child of,3003,Maria
3007,Michael,,,
3008,Betsy,,,
3009,Nan ,,,
3010,Sam,,,
3017,Hannah,,,
3018,John,,,
3020,Ned,,,
3021,Tilly,,,
3022,Thom,,,
3023,Tom,,,
3026,Lucy,,,
3027,Belle,,,
3028,Matthew,,,
3029,Thom,,,
3030,Thom,,,
3031,Paul,,,
3032,Samuel,,,
3033,David,,,
3034,Frances,,,
3035,Margaret,,,
3036,Thomas,,,
3037,Jinny,,,
3038,Henrietta,,,
3040,John Baptist,,,
3041,Gleotilda,,,
3042,Jerry,,,
3043,Jane,,,
3044,Fanny,,,
3045,Jerry,child of,3046,Henny
3046,Henny,,,
