OS-ID,dcterms:identifier ,dcterms:title 
1194,3000,Mary
2040,3001,Davy
2041,3002,Lucy
1910,3003,Maria
1911,3004,Child
1912,3005,Child
1913,3006,Child
1999,3007,Michael
1128,3008,Betsy
1477,3009,Nan 
2001,3010,Sam
1482,3017,Hannah
1483,3018,John
1485,3020,Ned
1486,3021,Tilly
1487,3022,Thom
2817,3023,Tom
2004,3026,Lucy
2005,3027,Belle
1195,3028,Matthew
2042,3029,Thom
1196,3030,Thom
2043,3031,Paul
1197,3032,Samuel
2044,3033,David
1198,3034,Frances
1199,3035,Margaret
1200,3036,Thomas
2045,3037,Jinny
1201,3038,Henrietta
1202,3040,John Baptist
1203,3041,Gleotilda
2047,3042,Jerry
1204,3043,Jane
2048,3044,Fanny
1205,3045,Jerry
1747,3046,Henny
