Source,Target
1117,1100
1128,1100
8312,1100
8313,1100
8315,1100
1132,1101
1124,1110
1126,1110
1141,1110
8307,1110
8308,1110
8311,1112
1139,1114
1156,1116
1120,1121
1122,1121
1136,1121
8309,1121
1120,1122
1136,1122
8309,1122
1124,1126
1141,1126
8307,1126
8308,1126
1114,1127
1139,1127
8300,1127
8301,1127
8302,1127
8303,1127
1130,1131
1134,1135
1142,1143
1145,1146
1149,1148
1155,1154
1099,1170
1151,7096
1116,7102
1156,7102
1100,7103
1128,7103
1130,7104
1131,7104
1134,7105
1135,7105
1142,7106
1143,7106
1147,7107
8304,8110
8305,8110
8316,8121
1044,1009
1042,1021
1001,1050
1003,1050
1010,1050
1017,1050
1018,1050
1026,1050
1001,1051
1003,1051
1010,1051
1017,1051
1018,1051
1026,1051
1032,1051
1034,1051
1050,1051
1069,1051
1002,1052
1007,1052
1009,1052
1016,1052
1019,1052
1024,1052
1002,1053
1004,1053
1052,1053
1005,1054
1011,1054
1012,1054
1020,1054
1025,1054
1027,1054
1055,1054
1005,1055
1011,1055
1012,1055
1020,1055
1025,1055
1027,1055
1007,1056
1009,1056
1016,1056
1019,1056
1024,1056
1052,1056
1014,1057
1015,1057
1021,1057
1023,1057
1028,1057
1031,1057
1033,1057
1036,1057
1037,1057
1039,1057
1046,1057
1058,1057
1014,1058
1015,1058
1021,1058
1023,1058
1028,1058
1031,1058
1033,1058
1036,1058
1037,1058
1039,1058
1046,1058
1006,1059
1013,1059
1060,1059
1006,1060
1013,1060
1035,1061
1038,1061
1043,1061
1062,1061
1035,1062
1038,1062
1043,1062
1029,1063
1040,1063
1068,1063
1041,1064
1045,1064
1065,1064
1041,1065
1045,1065
1009,1066
1044,1066
1029,1068
1040,1068
1063,1068
1032,1069
1034,1069
1008,1070
1071,1070
1008,1071
