Source,Target
1117,1100
1128,1100
8312,1100
8313,1100
8315,1100
1132,1101
1124,1110
1126,1110
1141,1110
8307,1110
8308,1110
8311,1112
1139,1114
1156,1116
1120,1121
1122,1121
1136,1121
8309,1121
1120,1122
1136,1122
8309,1122
1124,1126
1141,1126
8307,1126
8308,1126
1114,1127
1139,1127
8300,1127
8301,1127
8302,1127
8303,1127
1130,1131
1134,1135
1142,1143
1145,1146
1149,1148
1155,1154
1099,1170
1151,7096
1116,7102
1156,7102
1100,7103
1128,7103
1130,7104
1131,7104
1134,7105
1135,7105
1142,7106
1143,7106
1147,7107
8304,8110
8305,8110
8316,8121
