Source,Target
4001,4000
4002,4000
4003,4000
4004,4000
4006,4000
4221,4000
4008,4007
4009,4007
4010,4007
4011,4007
4012,4007
4071,4013
4072,4013
4073,4013
4075,4013
4054,4022
4067,4022
4068,4022
4069,4022
4070,4022
4220,4027
4036,4035
4037,4035
4038,4035
4039,4035
4040,4035
4041,4035
4043,4042
4044,4042
4045,4042
4046,4042
4047,4042
4049,4048
4050,4048
4051,4048
4052,4053
4056,4057
4076,4058
4077,4058
4078,4058
4079,4058
4080,4058
4081,4058
4058,4059
4076,4059
4077,4059
4078,4059
4079,4059
4080,4059
4081,4059
4063,4062
4065,4064
4082,4077
4083,4077
4084,4077
4085,4077
4086,4077
4133,4091
4172,4091
4197,4091
8004,4091
4095,4096
4095,4097
4096,4097
4099,4100
4102,4103
4099,4104
4100,4104
4105,4106
4107,4108
4109,4110
4109,4111
4110,4111
4112,4113
4131,4113
4161,4113
4163,4113
8029,4113
8031,4113
4112,4114
4113,4114
4131,4114
4161,4114
4163,4114
8029,4114
8031,4114
4115,4116
4129,4116
4115,4117
4116,4117
4129,4117
4118,4119
4120,4119
4118,4120
4113,4121
4120,4121
4132,4121
4125,4127
4126,4127
4125,4128
4126,4128
4127,4128
4135,4136
4137,4138
4140,4139
4141,4139
4140,4141
4143,4144
4144,4145
4143,4146
4144,4146
4149,4148
4150,4151
4151,4152
4096,4154
4159,4154
8016,4154
4154,4155
4158,4159
4168,4159
8012,4159
8013,4159
8014,4159
8015,4159
4158,4160
4159,4160
4168,4160
4166,4167
4176,4171
4177,4171
4176,4177
4179,4180
8061,4180
8062,4180
8063,4180
8064,4180
8066,4180
4181,4182
4184,4185
4186,4187
4189,4190
4193,4191
4202,4191
8023,4191
8024,4191
4202,4193
8023,4193
8024,4193
4195,4196
4198,4199
8078,4199
4198,4200
4199,4200
8078,4200
4204,4205
8038,4205
8040,4205
8041,4205
8042,4205
8043,4205
8045,4205
8046,4205
4209,4210
4211,4210
4209,4211
4212,4213
4214,4215
4216,4217
4218,4219
4181,7108
4182,7108
4184,7109
4185,7109
4186,7110
4187,7110
4189,7111
4190,7111
4091,7112
4172,7112
4197,7112
8004,7112
4218,7113
4219,7113
4159,8008
8012,8008
8013,8008
8014,8008
8015,8008
8018,8016
8019,8016
8016,8017
8018,8017
8019,8017
8034,8033
8037,8035
8035,8036
8037,8036
4204,8038
8040,8038
8041,8038
8042,8038
8043,8038
8045,8038
8046,8038
8048,8047
8049,8047
8050,8047
8051,8050
8052,8050
8053,8050
8056,8055
8057,8055
8058,8055
8059,8055
8068,8067
8069,8067
8070,8067
8071,8067
8075,8074
8084,8083
8085,8083
8086,8083
8087,8083
8090,8089
8091,8089
4105,PC021
4106,PC021
4107,PC022
4108,PC022
4137,PC025
4138,PC025
4166,PC026
4167,PC026
4179,PC028
4180,PC028
4216,PC030
4217,PC030
4014,4013
4015,4013
4016,4013
4027,4013
4018,4017
4019,4017
4020,4017
4021,4017
4023,4022
4024,4022
4025,4022
4026,4022
4028,4027
4029,4027
4030,4027
4031,4027
