Year of Date Data,Month of Date Data,Date,Estate,City,State,Max. Fahrenheit Temperature Data,Min. Fahrenheit Temperature Data,Central Temperature
1788,1,1788-1,,Paris,,51,28,40
1788,2,1788-2,,Paris,,55,29,46.5
1788,3,1788-3,,Paris,,45,38,45
1788,4,1788-4,,Paris,,79,45,63.5
1788,5,1788-5,,Paris,,81,48,67
1788,6,1788-6,,Paris,,83,53,68.5
1788,7,1788-7,,Paris,,86,54,69.5
1788,8,1788-8,,Paris,,79,53,63
1788,9,1788-9,,Paris,,81,47,56.5
1788,10,1788-10,,Paris,,70,32,39
1788,11,1788-11,,Paris,,63,8,30.75
1788,12,1788-12,,Paris,,39,-1.5,24
1791,1,1791-1,,Philadelphia, Pa.,53,9,31.5
1791,2,1791-2,,Philadelphia, Pa.,59,10,43
1791,3,1791-3,,Philadelphia, Pa.,81,27,58.5
1791,4,1791-4,,Philadelphia, Pa.,79,36,63
1791,5,1791-5,,Philadelphia, Pa.,82,47,71.5
1791,7,1791-7,,Philadelphia, Pa.,94,61,75.5
1791,8,1791-8,,Philadelphia, Pa.,93,57,60
1791,11,1791-11,,Philadelphia, Pa.,64,27,42
1791,12,1791-12,,Philadelphia, Pa.,61,20,29
1792,1,1792-1,,Philadelphia, Pa.,46,-3,30.5
1792,2,1792-2,,Philadelphia, Pa.,47,15,36
1792,3,1792-3,,Philadelphia, Pa.,70,25,52.5
1792,4,1792-4,,Philadelphia, Pa.,73,35,58.5
1792,5,1792-5,,Philadelphia, Pa.,91,44,71
1792,6,1792-6,,Philadelphia, Pa.,91,51,74.5
1792,7,1792-7,,,,92,58,76.5
1792,8,1792-8,,,,91,61,69
1792,9,1792-9,Monticello, Charlottesville, Va.,77,47,55
1792,10,1792-10,,Philadelphia, Pa.,75,33,52.5
1792,11,1792-11,,Philadelphia, Pa.,64,30,42.5
1792,12,1792-12,,Philadelphia, Pa.,49,21,36
1794,1,1794-1,,,,55,23,34.5
1794,2,1794-2,Monticello, Charlottesville, Va.,56,14,38
1794,3,1794-3,Monticello, Charlottesville, Va.,70,20,52
1794,4,1794-4,Monticello, Charlottesville, Va.,71,34,60.5
1794,5,1794-5,,,,83,50,70.5
1794,6,1794-6,,,,81,58,68.5
1794,7,1794-7,Monticello, Charlottesville, Va.,82,56,70.5
1794,8,1794-8,Monticello, Charlottesville, Va.,88,59,69.5
1794,9,1794-9,Monticello, Charlottesville, Va.,82,51,57
