Year of Date Data,Month of Date Data,Additional Notes,Animals,Astronomical,Availability of Produce,Barometer Transcribed,Birds,Blooming,Conditions Data,Conditions Transcribed,Date Data,Date Transcribed,Dew,Digital Image Name,Exclude,Fahrenheit Temperature Transcribed,Fish/Aquatic,Flood,Fog,Freezing Temperature,Frost,Hail,Harvested,Ice,Insects/Arthropods,Jefferson Notes,Key,Leafing,Lightning,Location Data,Location Transcribed,Losing Leaves,Miscellaneous,Natural Phenomena,Observations,Observer,Planted,Plants,Rain,Reptiles/Amphibians,Seasonal,Sleet,Snow,Sunshine,Thunder,Time Data,Time Transcribed,Trees/Shrubs,Weather Events,Wind Direction Data,Wind Direction Transcribed,Barometer Data,Daily Reading Number,Fahrenheit Temperature Data,Hygrometer (De Luc),Hygrometer (Saussure),PTJ Access No.,Snow Depth,,,,,,,,,,
1815,January,Samuel H. Smith to Jefferson, 30 January 1815: “We have had a most rigid spell of weather. The mercury in my thermometer was yesterday morning one degree below zero, and the ice in our streams is already a foot thick” (PTJRS, 8:214, https://founders.archives.gov/documents/Jefferson/03-08-02-0183).,,,,,,,,,1/29/1815,,,5810_weather_070,,-1,,,,,,,,,,,MHi_41888_51_172,,,Washington, D.C.,at Washn.,,,,,Samuel H. Smith,,,,,,,,,,,,,,,,,3,-1,,,41888.51,,,,,,
1788,April,,,,,,,,,,4/24/1788,Apr. 24,,4285_account_170,,,,,,,,,,,,,MHi_41503_92_371,,,Paris,,,,,,Thomas Jefferson,,,,,,,,,,AM,,,,,,,1,,,,41503.92,,,,,,,,,,,
1788,April,,,,,,,,,,4/25/1788,25,,4285_account_170,,,,,,,,,,,,,MHi_41503_92_373,,,Paris,,,,,,Thomas Jefferson,,,,,,,,,,AM,,,,,,,1,,,,41503.92,,,,,,,,,,,
1788,April,,,,,,,,,,4/27/1788,27,,4285_account_170,,,,,,,,,,,,,MHi_41503_92_377,,,Paris,,,,,,Thomas Jefferson,,,,,,,,,,AM,,,,,,,1,,,,41503.92,,,,,,,,,,,
1803,January,,,,,,,,,,1/1/1803,Jan 1,,5810_weather_001,,26,,,,,,,,,,,MHi_41888_13_51,,,Washington, D.C.,,,,,,Thomas Jefferson,,,,,,,,,,AM,,,,,,,1,26,,,41888.13,,,,,,,,,,
1803,January,,,,,,,,,,1/2/1803,2,,5810_weather_001,,29,,,,,,,,,,,MHi_41888_13_53,,,Washington, D.C.,,,,,,Thomas Jefferson,,,,,,,,,,AM,,,,,,,1,29,,,41888.13,,,,,,,,,,
1803,January,,,,,,,,,,1/3/1803,3,,5810_weather_001,,34,,,,,,,,,,,MHi_41888_13_55,,,Washington, D.C.,,,,,,Thomas Jefferson,,,,,,,,,,AM,,,,,,,1,34,,,41888.13,,,,,,,,,,
1803,January,,,,,,,,,,1/4/1803,4,,5810_weather_001,,25,,,,,,,,,,,MHi_41888_13_57,,,Washington, D.C.,,,,,,Thomas Jefferson,,,,,,,,,,AM,,,,,,,1,25,,,41888.13,,,,,,,,,,
1803,January,,,,,,,,,,1/5/1803,5,,5810_weather_001,,37,,,,,,,,,,,MHi_41888_13_59,,,Washington, D.C.,,,,,,Thomas Jefferson,,,,,,,,,,AM,,,,,,,1,37,,,41888.13,,,,,,,,,,
1803,January,,,,,,,,,,1/6/1803,6,,5810_weather_001,,61,,,,,,,,,,,MHi_41888_13_61,,,Washington, D.C.,,,,,,Thomas Jefferson,,,,,,,,,,AM,,,,,,,1,61,,,41888.13,,,,,,,,,,
1803,January,,,,,,,,,,1/7/1803,7,,5810_weather_001,,28,,,,,,,,,,,MHi_41888_13_63,,,Washington, D.C.,,,,,,Thomas Jefferson,,,,,,,,,,AM,,,,,,,1,28,,,41888.13,,,,,,,,,,
1803,January,,,,,,,,,,1/8/1803,8,,5810_weather_001,,25,,,,,,,,,,,MHi_41888_13_65,,,Washington, D.C.,,,,,,Thomas Jefferson,,,,,,,,,,AM,,,,,,,1,25,,,41888.13,,,,,,,,,,
1803,January,,,,,,,,,,1/9/1803,9,,5810_weather_001,,19,,,,,,,,,,,MHi_41888_13_67,,,Washington, D.C.,,,,,,Thomas Jefferson,,,,,,,,,,AM,,,,,,,1,19,,,41888.13,,,,,,,,,,
1803,January,,,,,,,,,,1/10/1803,10,,5810_weather_001,,29 1/2,,,,,,,,,,,MHi_41888_13_69,,,Washington, D.C.,,,,,,Thomas Jefferson,,,,,,,,,,AM,,,,,,,1,29.5,,,41888.13,,,,,,,,,,
1803,January,,,,,,,,,,1/11/1803,11,,5810_weather_001,,37,,,,,,,,,,,MHi_41888_13_71,,,Washington, D.C.,,,,,,Thomas Jefferson,,,,,,,,,,AM,,,,,,,1,37,,,41888.13,,,,,,,,,,
1803,January,,,,,,,,,,1/12/1803,12,,5810_weather_001,,52,,,,,,,,,,,MHi_41888_13_73,,,Washington, D.C.,,,,,,Thomas Jefferson,,,,,,,,,,AM,,,,,,,1,52,,,41888.13,,,,,,,,,,
1803,January,,,,,,,,,,1/13/1803,13,,5810_weather_001,,52,,,,,,,,,,,MHi_41888_13_75,,,Washington, D.C.,,,,,,Thomas Jefferson,,,,,,,,,,AM,,,,,,,1,52,,,41888.13,,,,,,,,,,
1803,January,,,,,,,,,,1/14/1803,14,,5810_weather_001,,44,,,,,,,,,,,MHi_41888_13_77,,,Washington, D.C.,,,,,,Thomas Jefferson,,,,,,,,,,AM,,,,,,,1,44,,,41888.13,,,,,,,,,,
1803,January,,,,,,,,,,1/15/1803,15,,5810_weather_001,,41 1/2,,,,,,,,,,,MHi_41888_13_79,,,Washington, D.C.,,,,,,Thomas Jefferson,,,,,,,,,,AM,,,,,,,1,41.5,,,41888.13,,,,,,,,,,
1803,January,,,,,,,,,,1/16/1803,16,,5810_weather_001,,31,,,,,,,,,,,MHi_41888_13_81,,,Washington, D.C.,,,,,,Thomas Jefferson,,,,,,,,,,AM,,,,,,,1,31,,,41888.13,,,,,,,,,,
1803,January,,,,,,,,,,1/17/1803,17,,5810_weather_001,,19,,,,,,,,,,,MHi_41888_13_83,,,Washington, D.C.,,,,,,Thomas Jefferson,,,,,,,,,,AM,,,,,,,1,19,,,41888.13,,,,,,,,,,
1803,January,,,,,,,,,,1/18/1803,18,,5810_weather_001,,21,,,,,,,,,,,MHi_41888_13_85,,,Washington, D.C.,,,,,,Thomas Jefferson,,,,,,,,,,AM,,,,,,,1,21,,,41888.13,,,,,,,,,,
1803,January,,,,,,,,,,1/19/1803,19,,5810_weather_001,,19 1/2,,,,,,,,,,,MHi_41888_13_87,,,Washington, D.C.,,,,,the river almost solidly frozen this morning as far as we can see. small openings here & there.,Thomas Jefferson,,,,,,,,,,AM,,,,,,,1,19.5,,,41888.13,,,,,,,,,,
1803,January,,,,,,,,,,1/20/1803,20,,5810_weather_001,,16,,,,,,,,,,,MHi_41888_13_89,,,Washington, D.C.,,,,,,Thomas Jefferson,,,,,,,,,,AM,,,,,,,1,16,,,41888.13,,,,,,,,,,
1803,January,,,,,,,,,,1/21/1803,21,,5810_weather_001,,25,,,,,,,,,,,MHi_41888_13_91,,,Washington, D.C.,,,,,,Thomas Jefferson,,,,,,,,,,AM,,,,,,,1,25,,,41888.13,,,,,,,,,,
1803,January,,,,,,,,,,1/22/1803,22,,5810_weather_001,,16 1/2,,,,,,,,,,,MHi_41888_13_93,,,Washington, D.C.,,,,,,Thomas Jefferson,,,,,,,,,,AM,,,,,,,1,16.5,,,41888.13,,,,,,,,,,
1803,January,,,,,,,,,,1/23/1803,23,,5810_weather_001,,25 1/2,,,,,,,,,,,MHi_41888_13_95,,,Washington, D.C.,,,,,,Thomas Jefferson,,,,,,,,,,AM,,,,,,,1,25.5,,,41888.13,,,,,,,,,,
1803,January,,,,,,,,,,1/24/1803,24,,5810_weather_001,,31,,,,,,,,,,,MHi_41888_13_97,,,Washington, D.C.,,,,,,Thomas Jefferson,,,,,,,,,,AM,,,,,,,1,31,,,41888.13,,,,,,,,,,
1803,January,,,,,,,,,,1/25/1803,25,,5810_weather_001,,26,,,,,,,,,,,MHi_41888_13_99,,,Washington, D.C.,,,,,,Thomas Jefferson,,,,,,,,,,AM,,,,,,,1,26,,,41888.13,,,,,,,,,,
1803,January,,,,,,,,,,1/26/1803,26,,5810_weather_001,,32 1/2,,,,,,,,,,,MHi_41888_13_101,,,Washington, D.C.,,,,,,Thomas Jefferson,,,,,,,,,,AM,,,,,,,1,32.5,,,41888.13,,,,,,,,,,
1803,January,,,,,,,,,,1/27/1803,27,,5810_weather_001,,28,,,,,,,,,,,MHi_41888_13_103,,,Washington, D.C.,,,,,,Thomas Jefferson,,,,,,,,,,AM,,,,,,,1,28,,,41888.13,,,,,,,,,,
1803,January,,,,,,,,,,1/28/1803,28,,5810_weather_001,,21 1/2,,,,,,,,,,,MHi_41888_13_105,,,Washington, D.C.,,,,,,Thomas Jefferson,,,,,,,,,,AM,,,,,,,1,21.5,,,41888.13,,,,,,,,,,
1803,January,,,,,,,,,,1/29/1803,29,,5810_weather_001,,11,,,,,,,,,,,MHi_41888_13_107,,,Washington, D.C.,,,,,,Thomas Jefferson,,,,,,,,,,AM,,,,,,,1,11,,,41888.13,,,,,,,,,,
1803,January,,,,,,,,,,1/30/1803,30,,5810_weather_001,,33 1/2,,,,,,,,,,,MHi_41888_13_109,,,Washington, D.C.,,,,,,Thomas Jefferson,,,,,,,,,,AM,,,,,,,1,33.5,,,41888.13,,,,,,,,,,
