dc:location,digit,,Farm,Number,Percentage
Newtown,1,,Newtown,44,0.158273381294964
Newtown,1,,St. Inigoes,93,0.334532374100719
Newtown,1,,St. Thomas’s Manor,50,0.179856115107914
Newtown,1,,White Marsh,91,0.327338129496403
Newtown,1,,,,
Newtown,1,,,,
Newtown,1,,,,
Newtown,1,,,,
Newtown,1,,,,
Newtown,1,,,,
Newtown,1,,,,
Newtown,1,,,,
Newtown,1,,,,
Newtown,1,,,,
Newtown,1,,,,
Newtown,1,,,,
Newtown,1,,,,
Newtown,1,,,,
Newtown,1,,,,
Newtown,1,,,,
Newtown,1,,,,
Newtown,1,,,,
Newtown,1,,,,
Newtown,1,,,,
Newtown,1,,,,
Newtown,1,,,,
Newtown,1,,,,
Newtown,1,,,,
Newtown,1,,,,
Newtown,1,,,,
Newtown,1,,,,
Newtown,1,,,,
Newtown,1,,,,
Newtown,1,,,,
Newtown,1,,,,
Newtown,1,,,,
Newtown,1,,,,
Newtown,1,,,,
Newtown,1,,,,
Newtown,1,,,,
Newtown,1,,,,
Newtown,1,,,,
Newtown,1,,,,
Newtown,1,44,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,,,,
St. Inigoes,1,93,,,
St. Thomas's Manor,1,,,,
St. Thomas's Manor,1,,,,
St. Thomas's Manor,1,,,,
St. Thomas's Manor,1,,,,
St. Thomas's Manor,1,,,,
St. Thomas's Manor,1,,,,
St. Thomas's Manor,1,,,,
St. Thomas's Manor,1,,,,
St. Thomas's Manor,1,,,,
St. Thomas's Manor,1,,,,
St. Thomas's Manor,1,,,,
St. Thomas's Manor,1,,,,
St. Thomas's Manor,1,,,,
St. Thomas's Manor,1,,,,
St. Thomas's Manor,1,,,,
St. Thomas's Manor,1,,,,
St. Thomas's Manor,1,,,,
St. Thomas's Manor,1,,,,
St. Thomas's Manor,1,,,,
St. Thomas's Manor,1,,,,
St. Thomas's Manor,1,,,,
St. Thomas's Manor,1,,,,
St. Thomas's Manor,1,,,,
St. Thomas's Manor,1,,,,
St. Thomas's Manor,1,,,,
St. Thomas's Manor,1,,,,
St. Thomas's Manor,1,,,,
St. Thomas's Manor,1,,,,
St. Thomas's Manor,1,,,,
St. Thomas's Manor,1,,,,
St. Thomas's Manor,1,,,,
St. Thomas's Manor,1,,,,
St. Thomas's Manor,1,,,,
St. Thomas's Manor,1,,,,
St. Thomas's Manor,1,,,,
St. Thomas's Manor,1,,,,
St. Thomas's Manor,1,,,,
St. Thomas's Manor,1,,,,
St. Thomas's Manor,1,,,,
St. Thomas's Manor,1,,,,
St. Thomas's Manor,1,,,,
St. Thomas's Manor,1,,,,
St. Thomas's Manor,1,,,,
St. Thomas's Manor,1,,,,
St. Thomas's Manor,1,,,,
St. Thomas's Manor,1,,,,
St. Thomas's Manor,1,,,,
St. Thomas's Manor,1,,,,
St. Thomas's Manor,1,,,,
St. Thomas's Manor,1,50,,,
White Marsh,1,,,,
White Marsh,1,,,,
White Marsh,1,,,,
White Marsh,1,,,,
White Marsh,1,,,,
White Marsh,1,,,,
White Marsh,1,,,,
White Marsh,1,,,,
White Marsh,1,,,,
White Marsh,1,,,,
White Marsh,1,,,,
White Marsh,1,,,,
White Marsh,1,,,,
White Marsh,1,,,,
White Marsh,1,,,,
White Marsh,1,,,,
White Marsh,1,,,,
White Marsh,1,,,,
